acamamento,altura_planta,beneficios,cor_flor,date,grupo_maturacao,habito_crescimento,hilo,insercao_vagem,nome_semente,pms_medio,pubescencia,url
Tolerante,97 - 112,"Execução,Performance,Plantio",ROXA,2021-06-01 14:55:03.206814,8.7,semi-determinado,Marrom Claro,14 - 19,NK8770 IPRO,140 - 190 KG,CINZA,https://www.portalsyngenta.com.br/sementes/nk-soja/nk-8770-ipro
Resistente,80 - 100,"Plantio,Desempenho,Segurança",Branca,2021-06-01 14:55:03.763493,7.2,Indeterminado,Marrom Claro,13CM          ,NK7201 IPRO,187 G,CINZA,https://www.portalsyngenta.com.br/sementes/nk-soja/nk-7201-ipro
Tolerante,95 - 105,"Potencial,Adaptação,Plantio,Manejo",ROXA,2021-06-01 14:55:03.787642,8.4,INDETERMINADO,Marrom Claro,10 - 45,NK8448 IPRO,758 - 797 KG,CINZA,https://www.portalsyngenta.com.br/sementes/nk-soja/nk-8448-ipro
Tolerante,67 - 103,"Estrutura,Bom desempenho,Boa tolerância,Segurança,Plantio,Estrutura,Bom desempenho,Boa tolerância,Segurança,Plantio",Branca,2021-06-01 14:55:03.812021,6.2,Indeterminado,Marrom Claro,11 - 24,NK6201 IPRO,174 G,CINZA,https://www.portalsyngenta.com.br/sementes/nk-soja/nk-6201-ipro
Tolerante,80 - 95,"Segurança,Manejo",Branca,2021-06-01 14:55:03.845535,8.4,INDETERMINADO,Marrom Médio,10 - 15,NK8301 IPRO,191 G,Marrom Clara,https://www.portalsyngenta.com.br/sementes/nk-soja/nk-8301-ipro
Tolerante,80 - 95,"Potencial,Adaptação,Plantio,Manejo",ROXA,2021-06-01 14:55:03.883795,7.7,INDETERMINADO,Marrom Claro,15 - 20,NK7777 IPRO,190 G,CINZA,https://www.portalsyngenta.com.br/sementes/nk-soja/nk-7777-ipro
