acam,alt,cor_flor,date,hab_cresc,hilo,ins_vag,nome,pms,project,pub,server,spider,url
Tolerante,97 - 112,ROXA,2021-05-27 19:31:35.377296,semi-determinado,Marrom Claro,14 - 19,NK8770 IPRO,140 - 190 KG,tmg_scraping,CINZA,hub-G3-3590,basic,http://www.portalsyngenta.com.br/sementes/nk-soja/nk-8770-ipro
Tolerante,80 - 95,ROXA,2021-05-27 19:31:36.455856,INDETERMINADO,Marrom Claro,15 - 20,NK7777 IPRO,190 G,tmg_scraping,CINZA,hub-G3-3590,basic,http://www.portalsyngenta.com.br/sementes/nk-soja/nk-7777-ipro
Tolerante,67 - 103,Branca,2021-05-27 19:31:36.657173,Indeterminado,Marrom Claro,11 - 24,NK6201 IPRO,174 G,tmg_scraping,CINZA,hub-G3-3590,basic,http://www.portalsyngenta.com.br/sementes/nk-soja/nk-6201-ipro
Tolerante,80 - 95,Branca,2021-05-27 19:31:37.699507,INDETERMINADO,Marrom Médio,10 - 15,NK8301 IPRO,191 G,tmg_scraping,Marrom Clara,hub-G3-3590,basic,http://www.portalsyngenta.com.br/sementes/nk-soja/nk-8301-ipro
Tolerante,95 - 105,ROXA,2021-05-27 19:31:38.037637,INDETERMINADO,Marrom Claro,10 - 45,NK8448 IPRO,758 - 797 KG,tmg_scraping,CINZA,hub-G3-3590,basic,http://www.portalsyngenta.com.br/sementes/nk-soja/nk-8448-ipro
Resistente,80 - 100,Branca,2021-05-27 19:31:38.099085,Indeterminado,Marrom Claro,13CM          ,NK7201 IPRO,187 G,tmg_scraping,CINZA,hub-G3-3590,basic,http://www.portalsyngenta.com.br/sementes/nk-soja/nk-7201-ipro
