acam,alt,cor_flor,date,hab_cresc,hilo,ins_vag,nome,pms,project,pub,server,spider,url
Tolerante,97 - 112,ROXA,2021-05-28 12:15:34.843778,semi-determinado,Marrom Claro,14 - 19,NK8770 IPRO,140 - 190 KG,tmg_scraping,CINZA,hub-G3-3590,basic,http://www.portalsyngenta.com.br/sementes/nk-soja/nk-8770-ipro
Tolerante,95 - 105,ROXA,2021-05-28 12:15:34.890001,INDETERMINADO,Marrom Claro,10 - 45,NK8448 IPRO,758 - 797 KG,tmg_scraping,CINZA,hub-G3-3590,basic,http://www.portalsyngenta.com.br/sementes/nk-soja/nk-8448-ipro
Tolerante,80 - 95,ROXA,2021-05-28 12:15:34.970006,INDETERMINADO,Marrom Claro,15 - 20,NK7777 IPRO,190 G,tmg_scraping,CINZA,hub-G3-3590,basic,http://www.portalsyngenta.com.br/sementes/nk-soja/nk-7777-ipro
Tolerante,67 - 103,Branca,2021-05-28 12:15:35.016138,Indeterminado,Marrom Claro,11 - 24,NK6201 IPRO,174 G,tmg_scraping,CINZA,hub-G3-3590,basic,http://www.portalsyngenta.com.br/sementes/nk-soja/nk-6201-ipro
Tolerante,80 - 95,Branca,2021-05-28 12:15:35.027943,INDETERMINADO,Marrom Médio,10 - 15,NK8301 IPRO,191 G,tmg_scraping,Marrom Clara,hub-G3-3590,basic,http://www.portalsyngenta.com.br/sementes/nk-soja/nk-8301-ipro
Resistente,80 - 100,Branca,2021-05-28 12:15:35.038479,Indeterminado,Marrom Claro,13CM          ,NK7201 IPRO,187 G,tmg_scraping,CINZA,hub-G3-3590,basic,http://www.portalsyngenta.com.br/sementes/nk-soja/nk-7201-ipro
